,ServiceNo,BusStopCode,Direction
0,187,46009,1
1,187,46549,1
2,187,46539,1
3,187,46529,1
4,187,46491,1
5,187,44269,1
6,187,44239,1
7,187,44249,1
8,187,44259,1
9,187,44149,1
10,187,44139,1
11,187,44159,1
12,187,44169,1
13,187,43529,1
14,187,43641,1
15,187,43831,1
16,187,43491,1
17,187,43481,1
18,187,43471,1
19,187,43461,1
20,187,43411,1
21,187,43701,1
22,187,43389,1
23,187,43699,1
24,187,28629,1
25,187,28321,1
26,187,28331,1
27,187,28451,1
28,187,28461,1
29,187,28491,1
30,187,28501,1
31,187,28511,1
32,187,28521,1
33,187,28399,1
34,187,28389,1
35,187,28091,1
36,187,21681,1
37,187,21691,1
38,187,22491,1
39,187,22009,1
40,187,22009,2
41,187,22499,2
42,187,21699,2
43,187,21689,2
44,187,28099,2
45,187,28381,2
46,187,28391,2
47,187,28529,2
48,187,28519,2
49,187,28509,2
50,187,28499,2
51,187,28469,2
52,187,28459,2
53,187,28339,2
54,187,28329,2
55,187,28621,2
56,187,43691,2
57,187,43381,2
58,187,43709,2
59,187,43419,2
60,187,43469,2
61,187,43479,2
62,187,43489,2
63,187,43499,2
64,187,43839,2
65,187,43649,2
66,187,43521,2
67,187,44161,2
68,187,44151,2
69,187,44131,2
70,187,44141,2
71,187,44251,2
72,187,44241,2
73,187,44231,2
74,187,44261,2
75,187,46499,2
76,187,46521,2
77,187,46531,2
78,187,46541,2
79,187,46009,2
